reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7e1815f2-36d1-4187-a936-12f969747892,Catherine Hempel,https://play-lh.googleusercontent.com/a-/ALV-UjXSlbshutvGhzEtwaF66-XlZRkbLjJXRFhNzGshNoybvycODl7JUQ,"The free version is terrible. Bro you can only do 6 skips per hour and then it gives you a whole bunch of recommendations into the playlists you're listening to! like bro when I make a playlist I like it how it is I don't need some robot to recommend things for it! like seriously! I pay for premium now, because it's worth it, but barely. The paid version is excellent but very expensive.",5,28,9.1.40.1486,2026-04-21 21:45:57,,,9.1.40.1486
460fb39a-56f5-4f8f-b64c-7f3bf2e8578a,Nevada ZG,https://play-lh.googleusercontent.com/a/ACg8ocI_ZQVvwc7E5CfeB4P7EsnqxBVivV6mURW9aTrZoWIx0pw-1g=mo,"free version sucks. Windows media player is better by light years (and WMP isn't an amazing platform, either). premium version works well enough to play music from, but is very confusing in how song ratings work. audiobooks are severely limited (15 hours with premium, and 15 hours more on a separate subscription - per month). if you want audiobooks or free music, I highly recommend a different platform.",3,221,9.1.18.1504,2026-02-11 06:43:08,,,9.1.18.1504
ad1d9be2-0959-4e98-8229-ee3ee4d9df0e,Angel Mead (Willow),https://play-lh.googleusercontent.com/a-/ALV-UjVrcmkir02OyHXAex-UOTZ-uWCYMB1hqqyK7OFMFN37PtvbEX22,"I love music, it's the only thing that keeps me focused on things like drawing, love Spotify, I COULD listen outside of the app and for the last few months of what I expected was just a bug that now constantly happens whenever I leave the app to go to anything else, it closes and turns my music off, back when I'd have said five stars, maybe lower the price instead of increasing an extra dollar every year for premium, and FIVE ads? Thats unnecessary, two or three is fine, but five hits my anger.",3,28,9.1.36.1948,2026-04-10 05:34:24,"Hi. We'll pass this on to the ads team. Furthermore, have you tried a quick reinstall? If that doesn't help, you should give our Customer Service a shout by heading to support.spotify.com and searching ""Contact us"".",2026-04-10 16:47:33,9.1.36.1948
f2794b6e-ee94-45ac-9ec6-21395085319a,Brandy R,https://play-lh.googleusercontent.com/a/ACg8ocLuzdU_7fpr43mQu4jIIW46Cz9xXMFo_xlaP_JPqHkVfnLICg=mo,I already pay for premium but that only allows for 15 hours of audiobooks and now they want me to pay for an add on that's the same price as the monthly fee for only 15 hours more. For an extra 11.99 a month audiobook add on it should be unlimited. not to mention the constant price hikes and still having ads in my podcast when I pay for no ads. This will just be the next streaming service I cancelle,1,433,9.1.22.1630,2026-02-14 02:32:15,,,9.1.22.1630
f38661ca-53a8-422e-9bc9-b15bf8351fd7,Ryan Yokel,https://play-lh.googleusercontent.com/a-/ALV-UjWf20AsKJxdTphp_LI0Gx0CGOWUFBQSt92dzi7zk0V_5k8Gy4XM,"Edit 2/27/26: Something seems to have changed in the last few weeks. I listen a lot, probably 4-5 hours a day while I do renovation work and every time I open the app it shows a ""you are back online"" message and it takes 2-3 minutes to load up all the recommendations and personalization stuff. Most of the time I am connected to high quality Wi-Fi or 5G networks. it's definitely not a connection issue since it happens everywhere I go. It's a music app so it's not critical, but still.",3,40,9.1.24.1739,2026-02-28 01:35:23,,,9.1.24.1739
4a6c4136-d56a-4a57-9305-230b888b5db6,Deagan Bailey,https://play-lh.googleusercontent.com/a-/ALV-UjX7-KnifvMHUnJ3f6JKHPSU11kJfjULCUjEDF3SvWXfRnogHIs,"Personally, I don't understand why you have to double down on the free version of the app with a bunch of ads AND limited song choices. That's overkill and it makes this app hardly even usable for longer than 20 minutes before it devolves into music that's vaguely related to the stuff you chose to listen to. It's great when you spend money, but that's by design. Y'all make enough money to give us more than 6 skips... I mean, c'mon.",2,36,9.1.28.2252,2026-03-11 01:21:03,,,9.1.28.2252
34ad5f8a-1382-42aa-b3cf-90ed6271e19c,Alissa Troidl,https://play-lh.googleusercontent.com/a-/ALV-UjUrdo7UFW45AbpRmT_7jIu3XGUtLSb7Qj0YzN_Ga4VXZgfTz_z_2A,"Shuffle does not actually shuffle. 'Shuffle' is just Spotify's version of a playlist. If I add a song to the queue, it'll play the song but will not change the shuffle, so that song could be played right away again if it was in that order of the 'shuffle'. Super annoying, especially considering the monthly price keeps going up, but the issue doesn't get resolved! Also, my app keeps skipping! Makes me feel like I'm back in the 90's and I need to take the CD out and wipe it off! it's not my settin",2,46,9.1.28.2252,2026-03-07 18:12:20,,,9.1.28.2252
e1616c1e-090d-4730-9b50-6228add85b87,Arcadia Lamming,https://play-lh.googleusercontent.com/a-/ALV-UjWN3BO0FOfNZMgkaBxqJtCdtFOOGF-BoKxCMB5rv5HgyF89BRQ4Ew,"I love this app for the most part. I have premium and have ever since switching from Pandora, so I don't even fully remember the distinction between the free and paid subscriptions at this point, however it is frustrating when I am listening to a podcast with video and all of a sudden, it just shows the profile of the podcaster rather than the video. I remember having a method to fix this in the settings, but it's been too long since then to even remember what it was. Please fix this!!",4,205,,2026-02-18 04:54:37,,,
97cf892d-e913-4b23-8db8-84cab11e668a,jolene,https://play-lh.googleusercontent.com/a-/ALV-UjUaY1EjoqNfw3kP7RjskHVyr33ooonoayme5Ijs1suMJ7osNhTJ,"Free version is almost unusable. Good grief! 4 ads in a row then it tells me I can enjoy 30 minutes ad free. 2 songs later here are 4 more ads. At first I figured maybe a weird glitch. Nope. It's happens several times over the last few days. And on top of the that the ads are horrible. They're louder than your music so it's very jarring especially if you're listening to something chill, and they're repetitive. I can't listen to specific songs, everything is behind a pay wall now.",1,3096,9.0.56.591,2025-07-09 21:42:53,,,9.0.56.591
d23e9cb8-2510-4f3b-8c66-366971a541cf,AL,https://play-lh.googleusercontent.com/a-/ALV-UjUhnGB_OsrKubDyADm6JYu6kkbRRWYS3vEI65uZUFQ2e7WNE6Oe2A,"Spotify used to be incredible! Now, it's total trash! The connectivity is asteonomcally garbage - I could have 5G UC service, be playing downloaded songs, but Spotify will be constantly interrupted. I'm currently experiencing a complete blackout. I loved the way the queue was set-up, where you could see what was in the queue, & what was playing from the list - it was a large, legible set of tracks; now, it's a ""user-friendly"" mess, where it's impossible to see the queue, versus the list.",1,1242,9.0.34.593,2025-04-16 19:31:43,,,9.0.34.593
